ID	logFC	CI.025	CI.975	AveExpr	t	P.Value	adj.P.Val	B	modLog10P	signLog10P
GALC	0.581142717788994	0.2837450409768	0.878540394601189	8.6005066695332	3.8444133445263	1.45640143413007E-4	0.00974248536273354	0.783842912354146	3.836719	3.836719
GBP1	0.815281287592839	0.425371197988999	1.20519137719668	9.24544762412831	4.11365483622918	4.95133389162302E-5	0.00542463462740494	1.75463032161245	4.305278	4.305278
GBP1P1	0.818297812619464	0.428891337876057	1.20770428736287	9.24299833376187	4.13421510604901	4.54874242367922E-5	0.00531279678883889	1.83118668360749	4.342109	4.342109
GPRASP1	0.654749632158884	0.327564739891164	0.981934524426604	7.34814836634078	3.93701318058991	1.01163388485923E-4	0.00813634327972909	1.11103738245596	3.994977	3.994977
GRB10	0.556699011685835	0.224173391980473	0.889224631391196	8.52695777572041	3.2936707758387	0.00109900421331377	0.0295250730674876	-1.01435244445069	2.959001	2.959001
HLA-DPA1	0.559058392543825	0.193829527583024	0.924287257504627	12.0402735675304	3.01145879661991	0.00280590630842096	0.0474955965637095	-1.83562254154671	2.551927	2.551927
HOPX	0.813634383604192	0.333211671925033	1.29405709528335	11.3099025122961	3.33188965948142	9.63015401092649E-4	0.0273308419756151	-0.897854237306449	3.016367	3.016367
HRH1	0.556795480718151	0.214066920990452	0.89952404044585	7.70022504760368	3.1961728152113	0.00153083901553704	0.0356920026130072	-1.30586472700944	2.81507	2.81507
IGFBP2	1.09838266833496	0.6330251029814	1.56374023368852	10.2465012222321	4.64356725870556	4.99639101577741E-6	0.00129241891029222	3.83519713934974	5.301344	5.301344
IGFBP3	0.786320027084816	0.322484444746032	1.2501556094236	10.4037212481068	3.33518648990656	9.52050101229843E-4	0.0272008729127557	-0.887746316839524	3.02134	3.02134
IGFBP5	0.703148253151415	0.353258670939899	1.05303783536293	11.6163212878353	3.9536729191478	9.46734409624752E-5	0.00774874269148165	1.17065050448093	4.023772	4.023772
IL1RAP	0.949761573611938	0.568869085081243	1.33065406214263	7.97632239582688	4.90565535715422	1.48129741649163E-6	6.44086632908267E-4	4.94502764575595	5.829358	5.829358
IQCG	0.755145015963724	0.437265176078812	1.07302485584864	7.34563461197314	4.67360734708351	4.3582134413231E-6	0.00118902317299156	3.95973529751154	5.360692	5.360692
KCTD12	0.520776889056418	0.210126684116751	0.831427093996084	10.0676552651961	3.29810825148351	0.00108234586678719	0.0292991447285544	-1.00089040237965	2.965634	2.965634
LAMA2	0.575784868133622	0.232910075993371	0.918659660273872	6.37885106898262	3.30376796344298	0.00106143966585439	0.0289019011951036	-0.983695951861439	2.974105	2.974105
LAPTM5	0.521372812805629	0.19948927736963	0.843256348241627	11.1393398145858	3.1866507310546	0.00158052089433558	0.0362042599410842	-1.33389637079501	2.8012	2.8012
LGALS3	0.829510870100405	0.448131414217731	1.21089032598308	11.6243716768763	4.27907239678747	2.47863514566612E-5	0.00355543602235035	2.38019845130043	4.605787	4.605787
LGALS8	0.592271660367757	0.369109682314195	0.815433638421319	7.42552105853269	5.22138356607131	3.19386998740617E-7	2.79155668065841E-4	6.35065397148706	6.495683	6.495683
LPAR1	0.576788700951605	0.203529549140162	0.950047852763047	8.36999263989662	3.04012280306005	0.00255893231996203	0.0449557882575148	-1.75535725480818	2.591941	2.591941
LTF	1.68034693557873	0.825678460710508	2.53501541044695	8.29342082472121	3.86799693207385	1.32820383731353E-4	0.00941895974709242	0.866504125972294	3.876735	3.876735
LYZ	0.796673390286244	0.313843949107071	1.27950283146542	8.33555966762109	3.24617116128104	0.00129286627637145	0.0324710133022244	-1.15739427614176	2.888446	2.888446
MAOB	0.966794278488186	0.480813786161273	1.4527747708151	10.0122890941868	3.91381309974693	1.10907079054287E-4	0.00857315438208545	1.02840005951233	3.955041	3.955041
MDK	0.724495445567898	0.38070707492963	1.06828381620617	7.65246830737255	4.14600026586587	4.3322457117702E-5	0.00531279678883889	1.87522265608432	4.363287	4.363287
MEIS1	0.594333483889468	0.271391566817474	0.917275400961462	6.73450800254608	3.6206840348989	3.4120876701235E-4	0.0144343766402729	0.022606398269498	3.46698	3.46698
MEIS3P1	0.696726431040262	0.413090481784664	0.980362380295861	6.94986699485867	4.83265574810057	2.08940334698125E-6	7.98933488412434E-4	4.63064698073399	5.679978	5.679978
MEIS3P2	0.696726431040262	0.413090481784664	0.980362380295861	6.94986699485867	4.83265574810057	2.08940334698125E-6	7.98933488412434E-4	4.63064698073399	5.679978	5.679978
MEOX2	1.22620174005862	0.600270194966198	1.85213328515103	6.5814270328368	3.85407300047564	1.40253798095677E-4	0.00951946998391828	0.817644861904422	3.853085	3.853085
MOXD1	0.858226537492844	0.298123778417158	1.41832929656853	7.16639060012785	3.01452628442473	0.00277846824817781	0.047203427600911	-1.8270671521705	2.556195	2.556195
MSN	0.771133031345277	0.515793204041332	1.02647285864922	9.96953960498881	5.94149305385839	7.33424867449341E-9	2.55121840142253E-5	9.82539349008609	8.134644	8.134644
MT1M	1.04212260523861	0.515286840865933	1.56895836961128	9.1372611026267	3.89160197059193	1.2106369414455E-4	0.008872569131086	0.949699291649967	3.916986	3.916986
MX1	0.654055393248671	0.239723122361688	1.06838766413565	7.85785176995832	3.10563647275912	0.00206761916890206	0.0406339733278294	-1.56922044845737	2.684529	2.684529
MXRA8	0.510066686216519	0.236350848021944	0.783782524411095	7.18810050962989	3.6661639208458	2.87946580530304E-4	0.0133996278310992	0.173973403103989	3.540688	3.540688
NAMPT	0.774794550642815	0.415469789078835	1.1341193122068	10.5208043815291	4.24213279104526	2.89832613150635E-5	0.00401739301504905	2.23859945352971	4.537853	4.537853
